item,name,region,regionLabel,party,partyLabel,startDate,endDate
Q19601030,Andrés Zottos,Q44803,Salta,Q1053668,Justicialista,2017-12-10,2021-12-09
Q47145004,Walberto Enrique Allende,Q44805,San Juan,,"",2017-12-10,2021-12-09
Q19897814,Eduardo Augusto Cáceres,Q44805,San Juan,Q1507720,Pro,2017-12-10,2021-12-09
,Graciela María Caselles,Q44805,San Juan,Q6156958,Partido Bloquista de San Juan,2015-12-10,2019-12-09
Q21856087,Sandra Daniela Castro,Q44805,San Juan,Q1072438,Frente para la Victoria-PJ,2017-12-10,2019-12-09
Q4137510,José Luis Gioja,Q44805,San Juan,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
,María Florencia Peñaloza Marianetti,Q44805,San Juan,,"",2016-06-01,2019-12-09
,Karim Augusto Alume Sbodio,Q44818,San Luis,Q5668474,Unidad Justicialista,2017-12-10,2021-12-09
,Ivana María Bianchi,Q44818,San Luis,Q5668474,Unidad Justicialista,2015-12-10,2019-12-09
Q21856259,José Luis Riccardo,Q44818,San Luis,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
,Victoria Rosso,Q44818,San Luis,Q5668474,Unidad Justicialista,2017-12-10,2021-12-09
,Andrés Alberto Vallone,Q44818,San Luis,Q5668474,Unidad Justicialista,2017-12-18,2019-12-09
,Antonio José Carambia,Q44821,Santa Cruz,Q1507720,Pro,2017-12-10,2021-12-09
Q15719117,Máximo Carlos Kirchner,Q44821,Santa Cruz,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
Q47145111,Roxana Nahir Reyes,Q44821,Santa Cruz,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
,Nadia Lorena Ricci,Q44821,Santa Cruz,Q123585,Unión Cívica Radical,2018-03-14,2019-12-09
Q5906402,Héctor Alberto Roquel,Q44821,Santa Cruz,Q123585,Unión Cívica Radical,2015-12-10,2018-02-27
,Juan Benedicto Vázquez,Q44821,Santa Cruz,Q1072438,Frente para la Victoria-PJ,2017-12-18,2021-12-09
Q23411111,"Albor Ángel ""Nicky"" Cantard",Q44823,Santa Fe,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
,Marcos Cleri,Q44823,Santa Fe,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
Q47145531,Luis Gustavo Contigiani,Q44823,Santa Fe,Q7248613,Frente Progresista Cívico y Social,2017-12-10,2021-12-09
Q21856094,Lucila María de Ponti,Q44823,Santa Fe,Q30904600,Movimiento Evita,2015-12-10,2019-12-09
Q47145361,Gonzalo Pedro Antonio del Cerro,Q44823,Santa Fe,Q123585,Unión Cívica Radical,2017-12-10,2021-12-09
,Silvina Patricia Frana,Q44823,Santa Fe,Q1072438,Frente para la Victoria-PJ,2015-12-10,2019-12-09
